transcriptid,event_date,companyid,companyname,title,fiscalyear,fiscalquarter,ticker,sample_group
2183036,2021-01-27,24937,Apple Inc.,"Apple Inc., Q1 2021 Earnings Call, Jan 27, 2021",,,AAPL,platform_bigtech
2261739,2021-04-28,24937,Apple Inc.,"Apple Inc., Q2 2021 Earnings Call, Apr 28, 2021",,,AAPL,platform_bigtech
3405186,2021-07-27,24937,Apple Inc.,"Apple Inc., Q3 2021 Earnings Call, Jul 27, 2021",,,AAPL,platform_bigtech
2416898,2021-10-28,24937,Apple Inc.,"Apple Inc., Q4 2021 Earnings Call, Oct 28, 2021",,,AAPL,platform_bigtech
2484943,2022-01-27,24937,Apple Inc.,"Apple Inc., Q1 2022 Earnings Call, Jan 27, 2022",,,AAPL,platform_bigtech
2547569,2022-04-28,24937,Apple Inc.,"Apple Inc., Q2 2022 Earnings Call, Apr 28, 2022",,,AAPL,platform_bigtech
2608355,2022-07-28,24937,Apple Inc.,"Apple Inc., Q3 2022 Earnings Call, Jul 28, 2022",,,AAPL,platform_bigtech
2666629,2022-10-27,24937,Apple Inc.,"Apple Inc., Q4 2022 Earnings Call, Oct 27, 2022",,,AAPL,platform_bigtech
2728260,2023-02-02,24937,Apple Inc.,"Apple Inc., Q1 2023 Earnings Call, Feb 02, 2023",,,AAPL,platform_bigtech
2795186,2023-05-04,24937,Apple Inc.,"Apple Inc., Q2 2023 Earnings Call, May 04, 2023",,,AAPL,platform_bigtech
2869783,2023-08-03,24937,Apple Inc.,"Apple Inc., Q3 2023 Earnings Call, Aug 03, 2023",,,AAPL,platform_bigtech
2948177,2023-11-02,24937,Apple Inc.,"Apple Inc., Q4 2023 Earnings Call, Nov 02, 2023",,,AAPL,platform_bigtech
3010150,2024-02-01,24937,Apple Inc.,"Apple Inc., Q1 2024 Earnings Call, Feb 01, 2024",,,AAPL,platform_bigtech
3108090,2024-05-02,24937,Apple Inc.,"Apple Inc., Q2 2024 Earnings Call, May 02, 2024",,,AAPL,platform_bigtech
3209490,2024-08-01,24937,Apple Inc.,"Apple Inc., Q3 2024 Earnings Call, Aug 01, 2024",,,AAPL,platform_bigtech
3295872,2024-10-31,24937,Apple Inc.,"Apple Inc., Q4 2024 Earnings Call, Oct 31, 2024",,,AAPL,platform_bigtech
2241429,2021-03-23,24321,Adobe Inc.,"Adobe Inc., Q1 2021 Earnings Call, Mar 23, 2021",,,ADBE,enterprise_software
2323054,2021-06-17,24321,Adobe Inc.,"Adobe Inc., Q2 2021 Earnings Call, Jun 17, 2021",,,ADBE,enterprise_software
2399875,2021-09-21,24321,Adobe Inc.,"Adobe Inc., Q3 2021 Earnings Call, Sep 21, 2021",,,ADBE,enterprise_software
2477888,2021-12-16,24321,Adobe Inc.,"Adobe Inc., Q4 2021 Earnings Call, Dec 16, 2021",,,ADBE,enterprise_software
2529052,2022-03-22,24321,Adobe Inc.,"Adobe Inc., Q1 2022 Earnings Call, Mar 22, 2022",,,ADBE,enterprise_software
2590683,2022-06-16,24321,Adobe Inc.,"Adobe Inc., Q2 2022 Earnings Call, Jun 16, 2022",,,ADBE,enterprise_software
