call_key,company,sample_group,call_date,year_quarter,total_paragraphs,post,ai_paragraphs,ai_presence,ai_share,log_total_paragraphs,att_positive,att_neutral,att_negative,att_mixed,att_not_applicable,theme_AI strategy and investment,theme_AI infrastructure and computing,theme_Generative AI and LLM,theme_AI productivity and enterprise applications,theme_AI content and customer experience,"theme_AI security, risk and responsibility",risk_responsibility_share,positive_share,not_applicable_share,distinct_theme_count
AAPL|2021-01-27|AAPL\2021-01-27_2183036_Apple_Inc._Q1_2021_Earnings_Call_Jan_27_2021,AAPL,platform_bigtech,2021-01-27,2021Q1,55,0,1,1,0.01818181818181818,4.02535169073515,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
AAPL|2021-04-28|AAPL\2021-04-28_2261739_Apple_Inc._Q2_2021_Earnings_Call_Apr_28_2021,AAPL,platform_bigtech,2021-04-28,2021Q2,57,0,0,0,0.0,4.060443010546419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AAPL|2021-07-27|AAPL\2021-07-27_3405186_Apple_Inc._Q3_2021_Earnings_Call_Jul_27_2021,AAPL,platform_bigtech,2021-07-27,2021Q3,59,0,0,0,0.0,4.0943445622221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AAPL|2021-10-28|AAPL\2021-10-28_2416898_Apple_Inc._Q4_2021_Earnings_Call_Oct_28_2021,AAPL,platform_bigtech,2021-10-28,2021Q4,60,0,0,0,0.0,4.110873864173311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AAPL|2022-01-27|AAPL\2022-01-27_2484943_Apple_Inc._Q1_2022_Earnings_Call_Jan_27_2022,AAPL,platform_bigtech,2022-01-27,2022Q1,58,0,0,0,0.0,4.07753744390572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AAPL|2022-04-28|AAPL\2022-04-28_2547569_Apple_Inc._Q2_2022_Earnings_Call_Apr_28_2022,AAPL,platform_bigtech,2022-04-28,2022Q2,61,0,0,0,0.0,4.127134385045092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AAPL|2022-07-28|AAPL\2022-07-28_2608355_Apple_Inc._Q3_2022_Earnings_Call_Jul_28_2022,AAPL,platform_bigtech,2022-07-28,2022Q3,59,0,0,0,0.0,4.0943445622221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AAPL|2022-10-27|AAPL\2022-10-27_2666629_Apple_Inc._Q4_2022_Earnings_Call_Oct_27_2022,AAPL,platform_bigtech,2022-10-27,2022Q4,48,0,0,0,0.0,3.8918202981106265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AAPL|2023-02-02|AAPL\2023-02-02_2728260_Apple_Inc._Q1_2023_Earnings_Call_Feb_02_2023,AAPL,platform_bigtech,2023-02-02,2023Q1,54,1,0,0,0.0,4.007333185232471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AAPL|2023-05-04|AAPL\2023-05-04_2795186_Apple_Inc._Q2_2023_Earnings_Call_May_04_2023,AAPL,platform_bigtech,2023-05-04,2023Q2,63,1,1,1,0.015873015873015872,4.1588830833596715,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
