level,outcome,comparison_group,base_group,coefficient,cluster_se,z_value,p_value,n_observations,n_clusters,fixed_effects,controls,cluster
paragraph,AI strategy and investment,enterprise_software,platform_bigtech,-0.08711247489744359,0.042513252579471236,-2.049066340774603,0.040455628282913304,3353,559,company + quarter_of_year,none,earnings_call
paragraph,AI strategy and investment,semis_ai_infra,platform_bigtech,0.15887996723878925,0.041609009303288716,3.8184030309568464,0.0001343183611713353,3353,559,company + quarter_of_year,none,earnings_call
paragraph,AI strategy and investment,ai_forward_saas,platform_bigtech,-0.10022087028285617,0.05667094448082996,-1.7684700899374954,0.07698234818061163,3353,559,company + quarter_of_year,none,earnings_call
paragraph,AI strategy and investment,data_cloud_security,platform_bigtech,0.02352618734557779,0.061112329210985424,0.38496630138830923,0.7002623826384501,3353,559,company + quarter_of_year,none,earnings_call
call,AI strategy and investment,enterprise_software,platform_bigtech,-0.043988911627746353,0.0876724341320437,-0.5017416484809185,0.6158492638003266,559,45,company + quarter_of_year,log_total_paragraphs,company
call,AI strategy and investment,semis_ai_infra,platform_bigtech,0.25225706489039573,0.04962828966764027,5.082928841186279,3.716589653999243e-07,559,45,company + quarter_of_year,log_total_paragraphs,company
call,AI strategy and investment,ai_forward_saas,platform_bigtech,-0.03299797202613678,0.08361925882044265,-0.39462167557588623,0.6931221143763764,559,45,company + quarter_of_year,log_total_paragraphs,company
call,AI strategy and investment,data_cloud_security,platform_bigtech,0.033216093010611604,0.09931006302343362,0.3344685523235827,0.7380260174277484,559,45,company + quarter_of_year,log_total_paragraphs,company
paragraph,AI infrastructure and computing,enterprise_software,platform_bigtech,-0.011454618565419057,0.03635249296246256,-0.3150985704679745,0.7526868138783571,3353,559,company + quarter_of_year,none,earnings_call
paragraph,AI infrastructure and computing,semis_ai_infra,platform_bigtech,-0.06314652740761588,0.041766688648441415,-1.511887330574201,0.1305625276284081,3353,559,company + quarter_of_year,none,earnings_call
paragraph,AI infrastructure and computing,ai_forward_saas,platform_bigtech,-0.006382650150887778,0.03882721776348581,-0.16438597763474566,0.8694273016378693,3353,559,company + quarter_of_year,none,earnings_call
paragraph,AI infrastructure and computing,data_cloud_security,platform_bigtech,0.03859483832358103,0.029254678039122444,1.3192706572250747,0.1870786438703294,3353,559,company + quarter_of_year,none,earnings_call
call,AI infrastructure and computing,enterprise_software,platform_bigtech,-0.005218091405074589,0.041338310773340665,-0.12622894616293243,0.8995506988974294,559,45,company + quarter_of_year,log_total_paragraphs,company
call,AI infrastructure and computing,semis_ai_infra,platform_bigtech,-0.07375733495834885,0.07389530990970782,-0.9981328320900534,0.31821495139277045,559,45,company + quarter_of_year,log_total_paragraphs,company
call,AI infrastructure and computing,ai_forward_saas,platform_bigtech,-0.02892704475726072,0.06207435295717257,-0.46600638394440574,0.6412109310013998,559,45,company + quarter_of_year,log_total_paragraphs,company
call,AI infrastructure and computing,data_cloud_security,platform_bigtech,0.05674331544369607,0.021188198661612867,2.6780622718296105,0.007404944991567935,559,45,company + quarter_of_year,log_total_paragraphs,company
paragraph,Generative AI and LLM,enterprise_software,platform_bigtech,0.4345627054640602,0.03906879784692794,11.123011953597409,9.694292003323777e-29,3353,559,company + quarter_of_year,none,earnings_call
paragraph,Generative AI and LLM,semis_ai_infra,platform_bigtech,0.34085792793044023,0.03486293020971033,9.777087751376143,1.4121534798258459e-22,3353,559,company + quarter_of_year,none,earnings_call
paragraph,Generative AI and LLM,ai_forward_saas,platform_bigtech,0.47894982997808544,0.04580107620806742,10.457174145915005,1.358468026505092e-25,3353,559,company + quarter_of_year,none,earnings_call
paragraph,Generative AI and LLM,data_cloud_security,platform_bigtech,0.5083281230810208,0.03874421073896747,13.120105259229438,2.5258387564427867e-39,3353,559,company + quarter_of_year,none,earnings_call
call,Generative AI and LLM,enterprise_software,platform_bigtech,0.42557253660475114,0.06667580396795837,6.382713237462628,1.739775161383751e-10,559,45,company + quarter_of_year,log_total_paragraphs,company
call,Generative AI and LLM,semis_ai_infra,platform_bigtech,0.28662209836778746,0.059179094879751044,4.843299799535448,1.2770038372336621e-06,559,45,company + quarter_of_year,log_total_paragraphs,company
call,Generative AI and LLM,ai_forward_saas,platform_bigtech,0.4247508701689679,0.06511150515574513,6.523438049127788,6.871380102402242e-11,559,45,company + quarter_of_year,log_total_paragraphs,company
call,Generative AI and LLM,data_cloud_security,platform_bigtech,0.46293154815974874,0.07223683422109432,6.408524863407777,1.469343205433631e-10,559,45,company + quarter_of_year,log_total_paragraphs,company
