outcome,coef,se,p_value,n
ai_presence,0.14886294980339015,0.05542053258328776,0.00722998151292442,692
ai_share,0.09404718616831137,0.010483422637690445,2.937322490576655e-19,692
positive_share,0.09474568442619787,0.053010419647562534,0.07388852223478029,692
risk_responsibility_share,0.04243108986908727,0.020490277200557863,0.038378293999469834,692
att_positive,0.09474568442619787,0.053010419647562534,0.07388852223478029,692
att_neutral,0.031510510073401346,0.06352837007732896,0.6198895408842523,692
att_negative,0.010395001493614588,0.010709919949523543,0.3317496832895583,692
att_mixed,0.012211753810176234,0.010890730572779752,0.26216106002631,692
theme_Generative AI and LLM,0.344547231329705,0.026654825434575292,3.200065294543446e-38,692
theme_AI productivity and enterprise applications,0.12150866022597089,0.04227908021541914,0.0040535195484247,692
