sample_group,period,attitude,n_paragraphs,share
ai_forward_saas,post,mixed,16,0.02909090909090909
ai_forward_saas,post,negative,20,0.03636363636363636
ai_forward_saas,post,neutral,313,0.5690909090909091
ai_forward_saas,post,positive,201,0.3654545454545455
ai_forward_saas,pre,mixed,1,0.009615384615384616
ai_forward_saas,pre,negative,3,0.028846153846153848
ai_forward_saas,pre,neutral,68,0.6538461538461539
ai_forward_saas,pre,positive,32,0.3076923076923077
ai_forward_saas,transition,neutral,6,0.8571428571428571
ai_forward_saas,transition,positive,1,0.14285714285714285
data_cloud_security,post,mixed,22,0.04462474645030426
data_cloud_security,post,negative,14,0.028397565922920892
data_cloud_security,post,neutral,273,0.5537525354969574
data_cloud_security,post,positive,184,0.37322515212981744
data_cloud_security,pre,mixed,6,0.08695652173913043
data_cloud_security,pre,negative,9,0.13043478260869565
data_cloud_security,pre,neutral,38,0.5507246376811594
data_cloud_security,pre,positive,16,0.2318840579710145
data_cloud_security,transition,mixed,1,0.14285714285714285
data_cloud_security,transition,negative,1,0.14285714285714285
data_cloud_security,transition,neutral,4,0.5714285714285714
data_cloud_security,transition,positive,1,0.14285714285714285
enterprise_software,post,mixed,9,0.01393188854489164
enterprise_software,post,negative,10,0.015479876160990712
enterprise_software,post,neutral,333,0.5154798761609907
enterprise_software,post,positive,294,0.4551083591331269
enterprise_software,pre,negative,3,0.02
enterprise_software,pre,neutral,96,0.64
enterprise_software,pre,positive,51,0.34
enterprise_software,transition,mixed,1,0.043478260869565216
enterprise_software,transition,negative,2,0.08695652173913043
enterprise_software,transition,neutral,13,0.5652173913043478
enterprise_software,transition,positive,7,0.30434782608695654
platform_bigtech,post,mixed,11,0.02743142144638404
platform_bigtech,post,negative,1,0.0024937655860349127
platform_bigtech,post,neutral,188,0.4688279301745636
platform_bigtech,post,positive,201,0.5012468827930174
platform_bigtech,pre,negative,2,0.018518518518518517
platform_bigtech,pre,neutral,61,0.5648148148148148
platform_bigtech,pre,positive,45,0.4166666666666667
platform_bigtech,transition,neutral,9,0.47368421052631576
platform_bigtech,transition,positive,10,0.5263157894736842
semis_ai_infra,post,mixed,6,0.00916030534351145
semis_ai_infra,post,negative,7,0.010687022900763359
semis_ai_infra,post,neutral,335,0.5114503816793893
semis_ai_infra,post,positive,307,0.4687022900763359
semis_ai_infra,pre,negative,1,0.005649717514124294
semis_ai_infra,pre,neutral,104,0.5875706214689266
semis_ai_infra,pre,positive,72,0.4067796610169492
semis_ai_infra,transition,neutral,10,0.5263157894736842
semis_ai_infra,transition,positive,9,0.47368421052631576
