company,call_date,quarter,speaker,speaker_type,paragraph_id,source_file,call_id,paragraph_text_original,core_ai_hits,technical_ai_hits,model_name_hits,hit_types,keyword_hit,prev_paragraph,next_paragraph,period,year,quarter_num,year_quarter,ai_relevant,ai_excerpt,attitude,theme
AAPL,2021/1/27,,,,3,AAPL\2021-01-27_2183036_Apple_Inc._Q1_2021_Earnings_Call_Jan_27_2021.txt,AAPL\2021-01-27_2183036_Apple_Inc._Q1_2021_Earnings_Call_Jan_27_2021,[Redacted],,machine learning,,technical_ai,1,[Redacted],[Redacted],pre,2021,1,2021Q1,yes,[Redacted],neutral,AI content and customer experience
AAPL,2023/2/2,,,,22,AAPL\2023-02-02_2728260_Apple_Inc._Q1_2023_Earnings_Call_Feb_02_2023.txt,AAPL\2023-02-02_2728260_Apple_Inc._Q1_2023_Earnings_Call_Feb_02_2023,[Redacted],AI,,,core_ai,1,[Redacted],[Redacted],post,2023,1,2023Q1,no,[Redacted],,
AAPL,2023/5/4,,,,17,AAPL\2023-05-04_2795186_Apple_Inc._Q2_2023_Earnings_Call_May_04_2023.txt,AAPL\2023-05-04_2795186_Apple_Inc._Q2_2023_Earnings_Call_May_04_2023,[Redacted],AI; generative AI,,,core_ai,1,[Redacted],[Redacted],post,2023,2,2023Q2,no,[Redacted],,
AAPL,2023/5/4,,,,18,AAPL\2023-05-04_2795186_Apple_Inc._Q2_2023_Earnings_Call_May_04_2023.txt,AAPL\2023-05-04_2795186_Apple_Inc._Q2_2023_Earnings_Call_May_04_2023,[Redacted],AI,machine learning,,core_ai; technical_ai,1,[Redacted],[Redacted],post,2023,2,2023Q2,yes,[Redacted],positive,AI strategy and investment
AAPL,2023/8/3,,,,51,AAPL\2023-08-03_2869783_Apple_Inc._Q3_2023_Earnings_Call_Aug_03_2023.txt,AAPL\2023-08-03_2869783_Apple_Inc._Q3_2023_Earnings_Call_Aug_03_2023,[Redacted],AI,,,core_ai,1,[Redacted],[Redacted],post,2023,3,2023Q3,no,[Redacted],,
AAPL,2023/8/3,,,,52,AAPL\2023-08-03_2869783_Apple_Inc._Q3_2023_Earnings_Call_Aug_03_2023.txt,AAPL\2023-08-03_2869783_Apple_Inc._Q3_2023_Earnings_Call_Aug_03_2023,[Redacted],AI; generative AI,machine learning,,core_ai; technical_ai,1,[Redacted],[Redacted],post,2023,3,2023Q3,yes,[Redacted],positive,AI strategy and investment; Generative AI and LLM
AAPL,2023/11/2,,,,33,AAPL\2023-11-02_2948177_Apple_Inc._Q4_2023_Earnings_Call_Nov_02_2023.txt,AAPL\2023-11-02_2948177_Apple_Inc._Q4_2023_Earnings_Call_Nov_02_2023,[Redacted],generative AI,,,core_ai,1,[Redacted],[Redacted],post,2023,4,2023Q4,no,[Redacted],,
AAPL,2023/11/2,,,,34,AAPL\2023-11-02_2948177_Apple_Inc._Q4_2023_Earnings_Call_Nov_02_2023.txt,AAPL\2023-11-02_2948177_Apple_Inc._Q4_2023_Earnings_Call_Nov_02_2023,[Redacted],AI; generative AI,machine learning,,core_ai; technical_ai,1,[Redacted],[Redacted],post,2023,4,2023Q4,yes,[Redacted],positive,AI strategy and investment; Generative AI and LLM; AI content and customer experience
AAPL,2023/11/2,,,,54,AAPL\2023-11-02_2948177_Apple_Inc._Q4_2023_Earnings_Call_Nov_02_2023.txt,AAPL\2023-11-02_2948177_Apple_Inc._Q4_2023_Earnings_Call_Nov_02_2023,[Redacted],AI,,,core_ai,1,[Redacted],[Redacted],post,2023,4,2023Q4,yes,[Redacted],neutral,AI strategy and investment; AI infrastructure and computing
AAPL,2024/2/1,,,,3,AAPL\2024-02-01_3010150_Apple_Inc._Q1_2024_Earnings_Call_Feb_01_2024.txt,AAPL\2024-02-01_3010150_Apple_Inc._Q1_2024_Earnings_Call_Feb_01_2024,[Redacted],artificial intelligence,machine learning,,core_ai; technical_ai,1,[Redacted],[Redacted],post,2024,1,2024Q1,yes,[Redacted],positive,AI infrastructure and computing; AI content and customer experience
